company,benchmark,model_variance,agent_variance,agent_delta_vs_terminus,model_range,dominant
Google,kumo,4.116030624999969e-05,1.802427024999964e-05,0.004245499999999958,0.00801850000000004,model
Google,labbench,0.00027623535925000073,0.08045327845924999,0.4005525,0.009392500000000026,agent
Google,livecodebench,0.0005090000000000009,0.0004570000000000008,0.025000000000000022,0.027000000000000024,model
Google,medagentbench,0.019346000000000006,0.013000000000000001,-0.148,0.18600000000000005,model
Google,mmau,0.002025562499999999,0.0016330624999999982,-0.03425,0.0442499999999999,model
Google,mmmlu,0.0020911262222500014,0.11176779911124998,0.47000049999999993,0.03933350000000002,agent
Google,omnimath,0.012962499999999998,0.008296999999999995,-0.08699999999999997,0.13,model
Google,qcircuitbench,0.001527276733000003,0.009758185372999996,-0.13803899999999997,0.050920999999999994,agent
Google,quixbugs,0.0006157226562499997,0.00010244140624999896,0.01156249999999992,0.03406250000000011,model
Google,replicationbench,0.04272834493849999,0.008950584938500004,0.13111100000000003,0.2911109999999999,model
Google,research-code-bench,0.003995188056249996,0.29975688147924995,0.7716985,0.06320749999999997,agent
Google,scicode,0.04076796692,0.035352387856000006,-0.18647600000000003,0.21355200000000002,model
Google,seal0,0.003537910960999998,0.0008583310730000006,0.020045000000000007,0.075901,model
Google,simpleqa,0.0031039999999999974,0.0014365000000000027,0.04300000000000004,0.07200000000000006,model
Google,sldbench,0.00021854922324999966,0.00021903790024999984,-0.005035500000000026,0.004937500000000039,agent
Google,spreadsheetbench,0.0007199999999999986,0.00016999999999999885,0.013999999999999957,0.03600000000000003,model
Google,strongreject,0.004529392302500001,0.004986505585,0.08881899999999998,0.08351400000000009,agent
Google,swe-lancer,0.020324000000000002,0.0026439999999999988,0.062,0.19799999999999995,model
Google,swebench-verified,0.001777000000000003,0.0003490000000000006,0.013000000000000012,0.05500000000000005,model
Google,swegym,0.0,0.0,0.0,0.0,agent
Google,swtbench,0.00020000000000000036,0.0015679999999999965,-0.05599999999999994,0.020000000000000018,agent
Google,terminal-bench,0.010751101881249996,0.001093311564249997,-0.026966500000000004,0.14157249999999988,model
Google,usaco,0.029461249999999994,0.03904362500000002,-0.21500000000000008,0.1645000000000001,agent
Google,widesearch,0.003970791289250003,0.00250884688925,-0.04058349999999994,0.06760849999999996,model
