column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
dacode/dacode-ml-binary-001,16,12,0.42857142857142855,0.6012891249999999,0.27982551608946304,0.7174305,0.52825725,0.8251,0.0,0.832194,identity,0.7174305,0.29684274999999993,0,0
dacode/dacode-ml-binary-002,17,11,0.39285714285714285,0.40668735294117647,0.2545264448095813,0.553156,0.222437,0.617683,0.0,0.636514,identity,0.553156,0.395246,0,0
dacode/dacode-ml-binary-003,18,10,0.35714285714285715,0.08411838888888888,0.17523197828438697,0.0,0.0,0.0,0.0,0.6,identity,0.0,0.17523197828438697,0,0
dacode/dacode-ml-binary-004,18,10,0.35714285714285715,0.5829963888888889,0.41414292849411555,0.7,0.09848375,1.0,0.0,1.0,identity,0.7,0.90151625,0,0
dacode/dacode-ml-binary-005,16,12,0.42857142857142855,0.7404991875000001,0.2845512544413613,0.911846,0.6882115,0.911846,0.0,0.964738,identity,0.911846,0.22363450000000007,0,0
dacode/dacode-ml-binary-006,16,12,0.42857142857142855,0.6423408749999999,0.35587945916873925,0.7703525,0.3453565,0.98812575,0.0,1.0,identity,0.7703525,0.64276925,0,0
dacode/dacode-ml-binary-007,16,12,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
dacode/dacode-ml-binary-008,16,12,0.42857142857142855,0.37417968749999997,0.2190041004415553,0.368826,0.1599585,0.5331015,0.0,0.765474,identity,0.368826,0.373143,0,0
dacode/dacode-ml-binary-009,16,12,0.42857142857142855,0.78540375,0.3176532177535551,0.9963029999999999,0.7238867499999999,0.997933,0.0,0.999199,identity,0.9963029999999999,0.27404625000000005,0,0
dacode/dacode-ml-binary-010,16,12,0.42857142857142855,0.5915463125,0.41693450112753305,0.7,0.15000000000000002,1.0,0.0,1.0,identity,0.7,0.85,0,0
dacode/dacode-ml-binary-011,16,12,0.42857142857142855,0.121573875,0.16856077398889213,0.0,0.0,0.2,0.0,0.6,identity,0.0,0.2,0,0
dacode/dacode-ml-binary-012,17,11,0.39285714285714285,0.1688765882352941,0.22110422573343863,0.0,0.0,0.330544,0.0,0.600903,identity,0.0,0.330544,0,0
dacode/dacode-ml-binary-013,17,11,0.39285714285714285,0.7364024705882353,0.3459258850577028,0.940526,0.5,1.0,0.0,1.0,identity,0.940526,0.5,0,0
dacode/dacode-ml-binary-014,16,12,0.42857142857142855,0.5871277500000001,0.282288859792257,0.739912,0.345234,0.7880499999999999,0.0,0.863097,identity,0.739912,0.44281599999999993,0,0
dacode/dacode-ml-binary-015,17,11,0.39285714285714285,0.4503337647058824,0.28592899169333663,0.547633,0.194106,0.694605,0.0,0.807873,identity,0.547633,0.500499,0,0
dacode/dacode-ml-binary-016,16,12,0.42857142857142855,0.37154256249999995,0.17884520837024429,0.414149,0.28511675,0.48536250000000003,0.0,0.706275,identity,0.414149,0.20024575000000006,0,0
dacode/dacode-ml-binary-017,18,10,0.35714285714285715,0.6651261666666667,0.383083088642116,0.7805655,0.5191895,0.97703675,0.0,1.0,identity,0.7805655,0.45784725000000004,0,0
dacode/dacode-ml-binary-018,17,11,0.39285714285714285,0.6127133529411765,0.32446920483676855,0.820218,0.420608,0.865938,0.0,0.885565,identity,0.820218,0.44533,0,0
